Date,Clicks,Impressions,CTR,Position
2026-01-04,3,31,9.68%,36.1
2026-01-05,3,63,4.76%,33.7
2026-01-06,1,50,2%,35.7
2026-01-07,1,82,1.22%,36.5
2026-01-08,3,86,3.49%,41.2
2026-01-09,0,108,0%,34.8
2026-01-10,2,187,1.07%,41.2
